Date,Open,High,Low,Close,Adj Close,Volume
2013-06-05,79636.796875,79636.796875,79636.796875,79636.796875,79636.796875,0
2013-06-06,75895.296875,75895.296875,75895.296875,75895.296875,75895.296875,0
2013-06-07,78332.601563,78332.601563,78332.601563,78332.601563,78332.601563,0
2013-06-10,76386.203125,76386.203125,76386.203125,76386.203125,76386.203125,0
2013-06-11,75041.000000,75041.000000,75041.000000,75041.000000,75041.000000,0
2013-06-12,76880.601563,76880.601563,76880.601563,76880.601563,76880.601563,0
2013-06-13,76488.601563,76488.601563,76488.601563,76488.601563,76488.601563,0
2013-06-14,80011.101563,80011.101563,80011.101563,80011.101563,80011.101563,0
2013-06-17,78946.500000,78946.500000,78946.500000,78946.500000,78946.500000,0
2013-06-18,77739.601563,77739.601563,77739.601563,77739.601563,77739.601563,0
2013-06-19,78834.601563,78834.601563,78834.601563,78834.601563,78834.601563,0
2013-06-20,73461.898438,73461.898438,73461.898438,73461.898438,73461.898438,0
2013-06-21,73101.796875,73101.796875,73101.796875,73101.796875,73101.796875,0
2013-06-24,70640.500000,70640.500000,70640.500000,70640.500000,70640.500000,0
2013-06-25,71214.601563,71214.601563,71214.601563,71214.601563,71214.601563,0
2013-06-26,73851.500000,73851.500000,73851.500000,73851.500000,73851.500000,0
2013-06-27,75761.500000,75761.500000,75761.500000,75761.500000,75761.500000,0
2013-06-28,76294.500000,76294.500000,76294.500000,76294.500000,76294.500000,0
2013-07-01,76736.601563,76736.601563,76736.601563,76736.601563,76736.601563,0
2013-07-02,76438.796875,76438.796875,76438.796875,76438.796875,76438.796875,0
2013-07-03,73718.703125,73718.703125,73718.703125,73718.703125,73718.703125,0
2013-07-04,75409.601563,75409.601563,75409.601563,75409.601563,75409.601563,0
2013-07-05,73111.796875,73111.796875,73111.796875,73111.796875,73111.796875,0
2013-07-08,71682.296875,71682.296875,71682.296875,71682.296875,71682.296875,0
2013-07-09,71981.601563,71981.601563,71981.601563,71981.601563,71981.601563,0
2013-07-10,71074.101563,71074.101563,71074.101563,71074.101563,71074.101563,0
2013-07-11,71789.898438,71789.898438,71789.898438,71789.898438,71789.898438,0
2013-07-12,73922.000000,73922.000000,73922.000000,73922.000000,73922.000000,0
2013-07-15,76228.000000,76228.000000,76228.000000,76228.000000,76228.000000,0
2013-07-16,75678.101563,75678.101563,75678.101563,75678.101563,75678.101563,0
2013-07-17,77072.101563,77072.101563,77072.101563,77072.101563,77072.101563,0
2013-07-18,77022.796875,77022.796875,77022.796875,77022.796875,77022.796875,0
2013-07-19,75874.000000,75874.000000,75874.000000,75874.000000,75874.000000,0
2013-07-22,75816.000000,75816.000000,75816.000000,75816.000000,75816.000000,0
2013-07-23,75368.101563,75368.101563,75368.101563,75368.101563,75368.101563,0
2013-07-24,74015.203125,74015.203125,74015.203125,74015.203125,74015.203125,0
2013-07-25,73849.703125,73849.703125,73849.703125,73849.703125,73849.703125,0
2013-07-26,72555.000000,72555.000000,72555.000000,72555.000000,72555.000000,0
2013-07-29,72938.898438,72938.898438,72938.898438,72938.898438,72938.898438,0
2013-07-30,74420.796875,74420.796875,74420.796875,74420.796875,74420.796875,0
2013-07-31,73377.500000,73377.500000,73377.500000,73377.500000,73377.500000,0
2013-08-01,73401.796875,73401.796875,73401.796875,73401.796875,73401.796875,0
2013-08-02,74032.796875,74032.796875,74032.796875,74032.796875,74032.796875,0
2013-08-05,74290.101563,74290.101563,74290.101563,74290.101563,74290.101563,0
2013-08-06,74031.601563,74031.601563,74031.601563,74031.601563,74031.601563,0
2013-08-07,73544.796875,73544.796875,73544.796875,73544.796875,73544.796875,0
2013-08-08,0,0,0,0,0,0
2013-08-09,0,0,0,0,0,0
2013-08-12,75374.500000,75374.500000,75374.500000,75374.500000,75374.500000,0
2013-08-13,75514.203125,75514.203125,75514.203125,75514.203125,75514.203125,0
2013-08-14,75585.898438,75585.898438,75585.898438,75585.898438,75585.898438,0
2013-08-15,73978.203125,73978.203125,73978.203125,73978.203125,73978.203125,0
2013-08-16,74275.398438,74275.398438,74275.398438,74275.398438,74275.398438,0
2013-08-19,72382.703125,72382.703125,72382.703125,72382.703125,72382.703125,0
2013-08-20,72204.203125,72204.203125,72204.203125,72204.203125,72204.203125,0
2013-08-21,69709.500000,69709.500000,69709.500000,69709.500000,69709.500000,0
2013-08-22,68300.000000,68300.000000,68300.000000,68300.000000,68300.000000,0
2013-08-23,67932.296875,67932.296875,67932.296875,67932.296875,67932.296875,0
2013-08-26,68775.000000,68775.000000,68775.000000,68775.000000,68775.000000,0
2013-08-27,65519.898438,65519.898438,65519.898438,65519.898438,65519.898438,0
2013-08-28,65452.398438,65452.398438,65452.398438,65452.398438,65452.398438,0
2013-08-29,66394.398438,66394.398438,66394.398438,66394.398438,66394.398438,0
2013-08-30,0,0,0,0,0,0
2013-09-02,68545.398438,68545.398438,68545.398438,68545.398438,68545.398438,0
2013-09-03,66973.101563,66973.101563,66973.101563,66973.101563,66973.101563,0
2013-09-04,66965.796875,66965.796875,66965.796875,66965.796875,66965.796875,0
2013-09-05,66715.101563,66715.101563,66715.101563,66715.101563,66715.101563,0
2013-09-06,67232.398438,67232.398438,67232.398438,67232.398438,67232.398438,0
2013-09-09,69689.203125,69689.203125,69689.203125,69689.203125,69689.203125,0
2013-09-10,71788.000000,71788.000000,71788.000000,71788.000000,71788.000000,0
2013-09-11,71771.601563,71771.601563,71771.601563,71771.601563,71771.601563,0
2013-09-12,72722.296875,72722.296875,72722.296875,72722.296875,72722.296875,0
2013-09-13,71635.000000,71635.000000,71635.000000,71635.000000,71635.000000,0
2013-09-16,74258.500000,74258.500000,74258.500000,74258.500000,74258.500000,0
2013-09-17,74783.398438,74783.398438,74783.398438,74783.398438,74783.398438,0
2013-09-18,74660.500000,74660.500000,74660.500000,74660.500000,74660.500000,0
2013-09-19,79466.000000,79466.000000,79466.000000,79466.000000,79466.000000,0
2013-09-20,77862.898438,77862.898438,77862.898438,77862.898438,77862.898438,0
2013-09-23,76807.898438,76807.898438,76807.898438,76807.898438,76807.898438,0
2013-09-24,76529.703125,76529.703125,76529.703125,76529.703125,76529.703125,0
2013-09-25,76234.296875,76234.296875,76234.296875,76234.296875,76234.296875,0
2013-09-26,75618.203125,75618.203125,75618.203125,75618.203125,75618.203125,0
2013-09-27,74772.296875,74772.296875,74772.296875,74772.296875,74772.296875,0
2013-09-30,74486.601563,74486.601563,74486.601563,74486.601563,74486.601563,0
2013-10-01,76470.000000,76470.000000,76470.000000,76470.000000,76470.000000,0
2013-10-02,75162.796875,75162.796875,75162.796875,75162.796875,75162.796875,0
2013-10-03,76269.898438,76269.898438,76269.898438,76269.898438,76269.898438,0
2013-10-04,76207.000000,76207.000000,76207.000000,76207.000000,76207.000000,0
2013-10-07,75901.203125,75901.203125,75901.203125,75901.203125,75901.203125,0
2013-10-08,75063.898438,75063.898438,75063.898438,75063.898438,75063.898438,0
2013-10-09,74483.898438,74483.898438,74483.898438,74483.898438,74483.898438,0
2013-10-10,75639.796875,75639.796875,75639.796875,75639.796875,75639.796875,0
2013-10-11,76176.398438,76176.398438,76176.398438,76176.398438,76176.398438,0
2013-10-14,76235.000000,76235.000000,76235.000000,76235.000000,76235.000000,0
2013-10-15,0,0,0,0,0,0
2013-10-16,0,0,0,0,0,0
2013-10-17,0,0,0,0,0,0
2013-10-18,0,0,0,0,0,0
2013-10-21,78877.000000,78877.000000,78877.000000,78877.000000,78877.000000,0
2013-10-22,79272.398438,79272.398438,79272.398438,79272.398438,79272.398438,0
2013-10-23,78515.601563,78515.601563,78515.601563,78515.601563,78515.601563,0
2013-10-24,78845.796875,78845.796875,78845.796875,78845.796875,78845.796875,0
2013-10-25,79271.500000,79271.500000,79271.500000,79271.500000,79271.500000,0
2013-10-28,79565.203125,79565.203125,79565.203125,79565.203125,79565.203125,0
2013-10-29,0,0,0,0,0,0
2013-10-30,78919.398438,78919.398438,78919.398438,78919.398438,78919.398438,0
2013-10-31,77620.398438,77620.398438,77620.398438,77620.398438,77620.398438,0
2013-11-01,76501.203125,76501.203125,76501.203125,76501.203125,76501.203125,0
2013-11-04,76234.203125,76234.203125,76234.203125,76234.203125,76234.203125,0
2013-11-05,74744.203125,74744.203125,74744.203125,74744.203125,74744.203125,0
2013-11-06,75768.601563,75768.601563,75768.601563,75768.601563,75768.601563,0
2013-11-07,75811.500000,75811.500000,75811.500000,75811.500000,75811.500000,0
2013-11-08,73918.296875,73918.296875,73918.296875,73918.296875,73918.296875,0
2013-11-11,72140.000000,72140.000000,72140.000000,72140.000000,72140.000000,0
2013-11-12,71904.601563,71904.601563,71904.601563,71904.601563,71904.601563,0
2013-11-13,72327.000000,72327.000000,72327.000000,72327.000000,72327.000000,0
2013-11-14,73974.796875,73974.796875,73974.796875,73974.796875,73974.796875,0
2013-11-15,74273.203125,74273.203125,74273.203125,74273.203125,74273.203125,0
2013-11-18,75597.703125,75597.703125,75597.703125,75597.703125,75597.703125,0
2013-11-19,74617.703125,74617.703125,74617.703125,74617.703125,74617.703125,0
2013-11-20,75381.703125,75381.703125,75381.703125,75381.703125,75381.703125,0
2013-11-21,74679.203125,74679.203125,74679.203125,74679.203125,74679.203125,0
2013-11-22,75638.000000,75638.000000,75638.000000,75638.000000,75638.000000,0
2013-11-25,76531.398438,76531.398438,76531.398438,76531.398438,76531.398438,0
2013-11-26,75563.203125,75563.203125,75563.203125,75563.203125,75563.203125,0
2013-11-27,74896.000000,74896.000000,74896.000000,74896.000000,74896.000000,0
2013-11-28,74580.398438,74580.398438,74580.398438,74580.398438,74580.398438,0
