"Data Source","Dünya Kalkınma Göstergeleri",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Türkiye","TUR","Net göç","SM.POP.NETM","","","-149998","","","","","-179999","","","","","-239999","","","","","-259997","","","","","-69997","","","","","-100001","","","","","-119998","","","","","-99999","","","","","-39997","","","","","-50000","","","","","1627172","","","","","",
"Türkiye","TUR","İşsizlik, toplam (toplam işgücüne %'si)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.21000003814697","8.51000022888184","8.96000003814697","8.57999992370605","7.6399998664856","6.63000011444092","6.84000015258789","6.8899998664856","7.69000005722046","6.48999977111816","8.38000011444092","10.3599996566772","10.539999961853","10.8400001525879","10.6400003433228","8.72000026702881","8.86999988555908","9.71000003814697","12.5500001907349","10.6599998474121","8.80000019073486","8.14999961853027","8.72999954223633","9.88000011444092","10.2399997711182","10.8400001525879","11.2629995346069",
"Türkiye","TUR","Ulusal yoksulluk sınırında kalan yoksul insan sayısı oranı (nüfusa %'si)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3","23.8","20.9","16.4","13.3","8.4","6.8","4.3","3.7","2.8","2.3","2.1","1.6","1.6","","",
"Türkiye","TUR","GİNİ indeksi","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.5","","","","","","","41.3","","","","","","","","41.4","42.2","41.3","42.6","39.6","38.4","39","39","38.8","40","40.2","40.2","41.2","42.9","41.9","",
"Türkiye","TUR","Günlük gelir 1,90 doların altında kalan yoksul insan sayısı oranı (PPP) nüfusa %'si)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","","","","","","","2.6","","","","","","","","1.7","3.7","2.1","2.6","1.9","1.4","0.6","0.9","0.8","0.3","0.3","0.3","0.3","0.3","0.2","",
"Türkiye","TUR","En düşük %20'lik gruba düşen gelir payı","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","","","","","","","5.8","","","","","","","","5.8","5.5","5.4","5.2","5.6","5.8","5.7","5.9","5.9","5.8","5.8","5.8","5.8","5.6","5.7","",
"Türkiye","TUR","Yetersiz beslenme yaygınlığı, yaşa göre kilo (5 yaş altı çocuklara %'si)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.69999980926514","","9","","","7","","","","","","3.5","","","","1.70000004768372","","","","","1.89999997615814","","","","",
"Türkiye","TUR","Uzman sağlık personelinin katılımıyla yapılan doğumlar (toplam doğuma %'si)","SH.STA.BRTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.9","","","","","80.6","","","","","83","","","","89.3","91.3","95","","","","97.4","97.4","","","",
"Türkiye","TUR","Bağışıklama, kızamık (12-23 aylık çocuklara %'si)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","27","52","64","63","62","61","64","67","82","71","78","73","78","72","76","65","72","79","81","82","87","91","83","75","81","91","98","96","97","97","97","98","96","98","94","97","98","",
"Türkiye","TUR","Ölüm oranı, 5 yaş altı (her 1.000 canlı doğum için)","SH.DYN.MORT","256.3","248.7","241.3","233.8","226.5","219.4","212.6","206.3","200.1","194.1","188.2","182.4","176.5","170.6","164.7","158.6","152.5","146.4","140.2","134.2","128.1","122","116","110.1","104.3","98.8","93.4","88.3","83.4","78.7","74.2","70","65.9","62.1","58.4","54.8","51.4","48.1","45","42","39.2","36.5","34","31.7","29.5","27.4","25.5","23.7","22.1","20.5","19.1","17.8","16.6","15.5","14.5","13.6","12.7","",
